COUNTY,Total Active Cases,Total Recovered,Total Deaths,Date
LaMoure,15,1,0,1/9/2022
Logan,4,1,0,1/9/2022
McHenry,11,4,0,1/9/2022
McIntosh,6,3,0,1/9/2022
McKenzie,28,9,0,1/9/2022
McLean,20,6,0,1/9/2022
Mercer,25,4,0,1/9/2022
Morton,176,25,1,1/9/2022
Mountrail,28,16,0,1/9/2022
Nelson,3,0,0,1/9/2022
Oliver,2,1,0,1/9/2022
Pembina,14,4,0,1/9/2022
Pierce,20,0,0,1/9/2022
Ramsey,45,7,0,1/9/2022
Ransom,13,0,0,1/9/2022
Renville,8,1,0,1/9/2022
Richland,36,8,0,1/9/2022
Rolette,374,29,0,1/9/2022
Sargent,8,1,0,1/9/2022
Sheridan,0,0,0,1/9/2022
Sioux,57,0,0,1/9/2022
Slope,0,0,0,1/9/2022
Stark,90,18,0,1/9/2022
Steele,0,0,0,1/9/2022
Stutsman,66,22,0,1/9/2022
Towner,3,0,0,1/9/2022
Traill,17,8,0,1/9/2022
Unknown,0,0,0,1/9/2022
Walsh,25,4,0,1/9/2022
Ward,254,66,0,1/9/2022
Wells,16,0,0,1/9/2022
Williams,94,26,0,1/9/2022
Adams,3,3,0,1/10/2022
Barnes,42,7,0,1/10/2022
Benson,14,7,0,1/10/2022
Billings,0,1,0,1/10/2022
Bottineau,19,1,0,1/10/2022
Bowman,3,1,0,1/10/2022
Burke,4,0,0,1/10/2022
Burleigh,654,141,1,1/10/2022
Cass,1739,313,1,1/10/2022
Cavalier,8,3,0,1/10/2022
Dickey,19,1,0,1/10/2022
Divide,2,2,0,1/10/2022
Dunn,5,0,0,1/10/2022
Eddy,13,3,0,1/10/2022
Emmons,1,3,0,1/10/2022
Foster,25,3,0,1/10/2022
Golden Valley,4,1,0,1/10/2022
Grand Forks,520,91,2,1/10/2022
Grant,9,3,0,1/10/2022
Griggs,14,3,0,1/10/2022
Hettinger,8,0,0,1/10/2022
Kidder,10,0,0,1/10/2022
LaMoure,18,4,1,1/10/2022
Logan,4,2,0,1/10/2022
McHenry,12,7,0,1/10/2022
McIntosh,6,1,0,1/10/2022
McKenzie,44,8,0,1/10/2022
McLean,18,8,0,1/10/2022
Mercer,30,7,0,1/10/2022
Morton,202,47,0,1/10/2022
Mountrail,49,12,0,1/10/2022
Nelson,2,1,1,1/10/2022
Oliver,3,0,0,1/10/2022
Pembina,25,6,0,1/10/2022
Pierce,23,0,0,1/10/2022
Ramsey,66,9,0,1/10/2022
Ransom,20,2,0,1/10/2022
Renville,6,3,0,1/10/2022
Richland,59,11,0,1/10/2022
Rolette,404,40,0,1/10/2022
Sargent,10,3,0,1/10/2022
Sheridan,1,0,0,1/10/2022
Sioux,63,6,0,1/10/2022
Slope,0,0,0,1/10/2022
Stark,118,30,0,1/10/2022
Steele,2,0,0,1/10/2022
Stutsman,75,21,0,1/10/2022
Towner,6,1,0,1/10/2022
Traill,31,4,0,1/10/2022
Unknown,0,0,0,1/10/2022
Walsh,40,8,0,1/10/2022
Ward,269,87,0,1/10/2022
Wells,17,7,0,1/10/2022
Williams,118,28,1,1/10/2022
Adams,3,1,0,1/11/2022
Barnes,54,8,0,1/11/2022
Benson,25,6,0,1/11/2022
Billings,0,0,0,1/11/2022
Bottineau,17,9,0,1/11/2022
Bowman,1,3,0,1/11/2022
Burke,5,1,0,1/11/2022
Burleigh,819,159,0,1/11/2022
Cass,2029,544,1,1/11/2022
Cavalier,18,3,0,1/11/2022
Dickey,18,9,0,1/11/2022
Divide,7,0,0,1/11/2022
Dunn,3,3,0,1/11/2022
Eddy,13,4,0,1/11/2022
Emmons,2,0,0,1/11/2022
Foster,29,8,0,1/11/2022
Golden Valley,4,0,0,1/11/2022
Grand Forks,600,162,1,1/11/2022
Grant,11,3,0,1/11/2022
Griggs,12,6,0,1/11/2022
Hettinger,10,4,0,1/11/2022
Kidder,12,0,0,1/11/2022
LaMoure,19,4,0,1/11/2022
Logan,3,1,0,1/11/2022
McHenry,14,2,0,1/11/2022
McIntosh,10,3,0,1/11/2022
McKenzie,55,12,0,1/11/2022
McLean,31,6,0,1/11/2022
Mercer,35,7,0,1/11/2022
Morton,237,48,1,1/11/2022
Mountrail,71,12,0,1/11/2022
Nelson,5,0,0,1/11/2022
Oliver,5,1,0,1/11/2022
Pembina,34,6,0,1/11/2022
Pierce,33,22,0,1/11/2022
Ramsey,69,23,0,1/11/2022
Ransom,25,7,0,1/11/2022
Renville,10,2,0,1/11/2022
Richland,79,10,0,1/11/2022
Rolette,494,54,1,1/11/2022
Sargent,11,2,0,1/11/2022
Sheridan,3,0,0,1/11/2022
Sioux,70,3,0,1/11/2022
Slope,0,0,0,1/11/2022
Stark,146,40,0,1/11/2022
Steele,2,0,0,1/11/2022
Stutsman,102,30,0,1/11/2022
Towner,9,2,0,1/11/2022
Traill,42,10,0,1/11/2022
Unknown,0,0,0,1/11/2022
Walsh,57,11,0,1/11/2022
Ward,334,82,2,1/11/2022
Wells,20,5,0,1/11/2022
Williams,163,33,1,1/11/2022
Adams,2,2,0,1/12/2022
Barnes,68,19,0,1/12/2022
Benson,33,7,0,1/12/2022
Billings,1,0,0,1/12/2022
Bottineau,18,2,0,1/12/2022
Bowman,3,0,0,1/12/2022
Burke,5,2,0,1/12/2022
Burleigh,1022,181,0,1/12/2022
Cass,2547,429,1,1/12/2022
Cavalier,20,2,0,1/12/2022
Dickey,20,4,0,1/12/2022
Divide,11,1,0,1/12/2022
Dunn,8,1,0,1/12/2022
Eddy,15,2,0,1/12/2022
Emmons,6,0,0,1/12/2022
Foster,31,8,0,1/12/2022
Golden Valley,2,2,0,1/12/2022
Grand Forks,783,105,0,1/12/2022
Grant,11,2,0,1/12/2022
Griggs,16,3,0,1/12/2022
Hettinger,13,2,0,1/12/2022
Kidder,11,3,0,1/12/2022
LaMoure,23,6,0,1/12/2022
Logan,5,0,0,1/12/2022
McHenry,22,1,0,1/12/2022
McIntosh,11,4,0,1/12/2022
McKenzie,55,11,0,1/12/2022
McLean,40,3,0,1/12/2022
